"V1","V2","labels"
-0.361254326067865,0.77676658006385,1
0.351043274626136,-0.832392412703484,1
-0.356272853445262,0.929759894963354,1
-0.0306902723386884,-0.180701322853565,-1
0.944960214197636,0.979218354448676,1
-0.706250803079456,-0.996942134108394,1
0.991618765518069,0.996903486549854,1
0.835842691827565,0.30713464319706,1
-0.177361938171089,0.905643582809716,1
-0.177566948346794,0.371301434468478,-1
0.761974433902651,-0.202935923822224,-1
0.405423007439822,0.370054983068258,-1
0.0453670108690858,0.924229216296226,1
0.484105368610471,-0.611542082857341,-1
-0.304806147236377,-0.615288969594985,-1
-0.87435384420678,-0.47106881858781,1
0.219202084932476,0.311236232053488,-1
0.103030924685299,0.319476635660976,-1
-0.350335178896785,-0.593957128468901,-1
-0.520189741626382,0.792068218346685,1
0.120449408423156,0.640842361841351,-1
-0.25619249464944,0.464435238856822,-1
0.343103277496994,0.498581977095455,-1
0.166215266566724,0.328388375230134,-1
-0.0358805600553751,-0.768883078359067,-1
0.0504150106571615,-0.173975697718561,-1
-0.952410356141627,-0.62292147660628,1
0.865042757242918,-0.451302428729832,1
0.545698045752943,0.0615648129023612,-1
-0.851666345261037,-0.014483314473182,1
-0.439907893072814,-0.986097474116832,1
0.0289720757864416,-0.719317108858377,-1
0.364757427945733,-0.264251896180212,-1
-0.88241885509342,-0.131606321781874,1
0.522648873273283,-0.333774610888213,-1
0.196064148563892,0.88273517973721,1
-0.768065302167088,0.716626754030585,1
0.24970607412979,-0.776536051183939,1
0.123091844376177,-0.176831700839102,-1
-0.382179319858551,-0.887105530127883,1
0.424891621340066,0.600780241657048,-1
0.140913877636194,-0.794892149977386,1
-0.0440778727643192,-0.401666509453207,-1
0.606998382601887,0.857756048440933,1
-0.546164307743311,0.674851658754051,1
-0.189251256641001,0.275909307412803,-1
-0.442955680657178,0.879418050404638,1
0.869606988038868,0.998594359029084,1
-0.247754103504121,0.68858448183164,-1
0.948702685069293,0.00434814905747771,1
-0.874633398838341,-0.1559276888147,1
-0.258051690179855,-0.693791765719652,-1
-0.241049260366708,0.951546646654606,1
-0.418919541873038,0.593505420256406,-1
-0.223151353187859,-0.471835636533797,-1
-0.217410970944911,-0.644704611040652,-1
0.347314047627151,-0.96041036490351,1
-0.778711596969515,0.338009659666568,1
0.627335044555366,-0.91526913177222,1
-0.179011189378798,-0.775096911471337,-1
-0.666095204185694,0.525128730107099,1
0.162463670130819,-0.140882451552898,-1
0.748383301775903,-0.398521189112216,1
-0.74530826555565,0.796438167337328,1
0.613643025048077,-0.989621266722679,1
-0.911739017348737,-0.125896874815226,1
0.245690614450723,-0.486400448717177,-1
0.412525008898228,-0.173880795016885,-1
-0.579531428404152,-0.355170693714172,-1
